loyalty_member_id,email,first_name,last_name,phone,tier,points,join_date,email_optin
LM-00001,maria.chen.000001@example.com,Maria,Chen,207-213-0031,Gold,62000,19-Mar-2025,false
LM-00002,james.okafor.000002@example.com,James,Okafor,2142260062,Platinum,89000,27-Oct-2023,true
LM-00003,sofia.reyes.000003@example.com,Sofia,Reyes,+12212390093,Bronze,1200,05-Nov-2024,true
LM-00004,david.kim.000004@example.com,David,Kim,(228) 252-0124,Silver,32000,19-Apr-2024,true
LM-00005,aisha.patel.000005@example.com,Aisha,Patel,235-265-0155,Gold,58000,13-Dec-2023,true
LM-00006,carlos.mendez.000006@example.com,Carlos,Mendez,2422780186,Bronze,8500,10-May-2023,true
LM-00007,wei.zhang.000007@example.com,Wei,Zhang,+12492910217,Platinum,102000,12-Jun-2023,true
LM-00008,fatima.alhassan.000008@example.com,Fatima,Al-Hassan,N/A,Silver,25000,09-Jan-2023,true
LM-00009,ryan.obrien.000009@example.com,Ryan,O'Brien,263-317-0279,Bronze,3200,29-Aug-2022,false
LM-00010,priya.sharma.000010@example.com,Priya,Sharma,N/A,Gold,71000,31-Oct-2023,true
LM-00011,margaud.morvan.000011@example.com,Margaud,Morvan,+12773430341,Gold,20952,29-Mar-2025,true
LM-00012,spencer.rivas.000012@example.com,Spencer,Rivas,(284) 356-0372,Gold,3648,15-Jun-2023,true
LM-00013,joyce.moraes.000013@example.com,Joyce,Moraes,291-369-0403,Gold,819,12-May-2025,true
LM-00014,arcelia.olmos.000015@example.com,Arcelia,Olmos,+13053950465,Gold,34012,30-Jan-2025,false
LM-00015,james.baker.000016@example.com,James,Baker,(312) 408-0496,Gold,33024,16-Jan-2025,true
LM-00016,heitor.saxena.000017@example.com,Heitor,Saxena,319-421-0527,Gold,32314,20-Jan-2023,false
LM-00017,elisa.brennan.000018@example.com,Elisa,Brennan,,Gold,54572,19-Oct-2022,true
LM-00018,seth.lourdes.000019@example.com,Lourdes,Seth,+13334470589,Gold,74132,27-Aug-2023,true
LM-00019,anabeatriz.jordan.000020@example.com,Ana Beatriz,Jordan,(340) 460-0620,Platinum,81717,24-Apr-2025,true
LM-00020,natasha.alejandro.000024@example.com,Natasha,Alejandro,(368) 512-0744,Gold,2848,08-Apr-2025,true
LM-00021,,Jorge,Bahena,3825380806,Gold,38825,13-Jun-2025,true
LM-00022,oviya.mallick.000027@example.com,Oviya,Mallick,N/A,Gold,26041,08-Apr-2023,false
LM-00023,maximiliano.villareal.000031@example.com,Maximiliano,Villareal,+14176030961,Gold,7623,10-Feb-2023,true
LM-00024,eduardo.freitas.000032@example.com,Eduardo,Freitas,(424) 616-0992,Gold,16559,24-Jul-2023,true
LM-00025,clarice.walton.000034@example.com,Clarice,Walton,4386421054,Gold,869,03-Dec-2023,true
LM-00026,julio.bailey.000036@example.com,Julio,Bailey,(452) 668-1116,Gold,31515,11-Oct-2023,true
LM-00027,barbara.gomez.000037@example.com,Barbara,Gomez,,Gold,48462,01-Apr-2024,true
LM-00028,gilberto.roberts.000038@example.com,Gilberto,Roberts,4666941178,Gold,71295,26-Jul-2024,true
LM-00029,porfirio.ball.000040@example.com,Porfirio,Ball,(480) 720-1240,Platinum,110713,14-Feb-2024,true
LM-00030,martin.carlson.000041@example.com,Martin,Carlson,487-733-1271,Gold,13746,30-Jun-2025,true
LM-00031,mike.parker.000042@example.com,Mike,Parker,4947461302,Gold,7223,13-Apr-2023,true
LM-00032,alvaro.hooper.000044@example.com,Alvaro,Hooper,(508) 772-1364,Gold,19309,07-Jun-2023,false
