FirstName,LastName,Email,Phone,MailingState
Margaud,Morvan,margaud.morvan.batch000@example.com,(400) 800-5000,CA
Emanuella,Moore,emanuella.moore.batch001@example.com,407-813-5031,TX
Chad,Ocasio,chad.ocasio.batch002@example.com,4148265062,FL
Andrea,Clark,andrea.clark.batch003@example.com,+14218395093,NY
Pauline,Smith,pauline.smith.batch004@example.com,(428) 852-5124,PA
Estela,Spears,estela.spears.batch005@example.com,435-865-5155,IL
Cristian,Mojica,cristian.mojica.batch006@example.com,4428785186,OH
Yashodhara,Garrison,yashodhara.garrison.batch007@example.com,+14498915217,GA
Amanda,Nunez,amanda.nunez.batch008@example.com,(456) 904-5248,NC
Dennis,da Cruz,dennis.dacruz.batch009@example.com,463-917-5279,MI
Mitchell,Texier,mitchell.texier.batch010@example.com,4709305310,NJ
Itzel,Borrego,itzel.borrego.batch011@example.com,+14779435341,VA
Ruby,da Mata,ruby.damata.batch012@example.com,(484) 956-5372,WA
Dana,Walton,dana.walton.batch013@example.com,491-969-5403,AZ
Robert,Mcdaniel,robert.mcdaniel.batch014@example.com,4989825434,MA
Eric,Wilkerson,eric.wilkerson.batch015@example.com,+15059955465,TN
Heather,Gregory,heather.gregory.batch016@example.com,(512) 208-5496,IN
Douglas,Dennis,douglas.dennis.batch017@example.com,519-221-5527,MO
Billy,Arnold,billy.arnold.batch018@example.com,5262345558,MD
Erik,Carr,erik.carr.batch019@example.com,+15332475589,WI
